2025-01-29 14:45:04,233 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-01-29 14:45:04,234 | MainThread   | [INFO    ] | <module>            |: info
2025-01-29 14:45:04,236 | MainThread   | [WARNING ] | <module>            |: warning
2025-01-29 14:45:04,239 | MainThread   | [ERROR   ] | <module>            |: error
2025-01-29 14:45:04,242 | MainThread   | [CRITICAL] | <module>            |: critical
2025-01-29 15:10:31,300 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=13, micro=1, releaselevel='final', serial=0)
2025-01-29 15:10:31,300 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=13, micro=1, releaselevel='final', serial=0)
2025-01-29 15:10:31,300 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-11-10.0.22631-SP0
2025-01-29 15:10:31,300 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-11-10.0.22631-SP0
2025-01-29 15:10:31,301 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:80:25:12:64
2025-01-29 15:10:31,301 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:80:25:12:64
2025-01-29 15:10:36,035 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:80:25:12:64
2025-01-29 15:10:36,035 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:80:25:12:64
2025-01-29 15:11:34,143 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:81:80:25:12:64
2025-01-29 15:11:34,143 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:81:80:25:12:64
2025-01-29 15:20:03,650 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=13, micro=1, releaselevel='final', serial=0)
2025-01-29 15:20:03,650 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-11-10.0.22631-SP0
2025-01-29 15:20:03,651 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:80:25:12:64
2025-01-29 15:20:07,963 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:80:25:12:64
2025-01-29 15:26:10,321 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-01-29 15:26:11,725 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:81:80:25:12:64
2025-01-29 15:26:21,344 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:80:25:12:64
2025-01-29 15:26:25,296 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:80:25:12:64
2025-01-29 15:27:25,167 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:81:80:25:12:64
2025-01-29 15:27:39,289 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:80:25:12:64
2025-01-29 15:27:43,283 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:80:25:12:64
2025-01-29 15:42:16,578 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:81:80:25:12:64
2025-01-29 15:42:20,963 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:80:25:12:64
2025-01-29 15:42:20,963 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:80:25:12:64
2025-01-29 15:42:25,557 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:80:25:12:64
2025-01-29 15:42:25,557 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:80:25:12:64
