Timestamps,Speed,P Error,I Error,Distance,Data Available,dt
289336,74,2496,12480,2796,0,5
289483,80,2955,446865,3255,0,147
289504,80,2923,508248,3223,0,21
289524,71,2379,555828,2679,0,20
289538,74,2457,590226,2757,0,14
289552,80,2727,628404,3027,0,14
289567,70,2326,663294,2626,0,15
289587,80,3266,728614,3566,0,20
289606,80,2808,781966,3108,0,19
289623,80,2838,830212,3138,0,17
289648,80,2675,897087,2975,0,25
289667,80,2783,949964,3083,0,19
289688,80,2976,1012460,3276,0,21
289710,78,2591,1069462,2891,0,22
289731,75,2492,1121794,2792,0,21
289749,75,2472,1166290,2772,0,18
289770,80,2660,1222150,2960,0,21
289792,80,2654,1280538,2954,0,22
289807,75,2474,1317648,2774,0,15
289826,79,2615,1367333,2915,0,19
289840,80,2751,1405847,3051,0,14
289857,80,2643,1450778,2943,0,17
289873,80,2666,1493434,2966,0,16
289886,78,2555,1526649,2855,0,13
289901,78,2565,1565124,2865,0,15
289925,80,2687,1629612,2987,0,24
289944,79,2583,1678689,2883,0,19
289967,76,2487,1735890,2787,0,23
289988,79,2588,1790238,2888,0,21
290012,77,2517,1850646,2817,0,24
290030,76,2482,1895322,2782,0,18
290055,78,2536,1958722,2836,0,25
290074,76,2499,2006203,2799,0,19
290096,73,2382,2058607,2682,0,22
290115,73,2374,2103713,2674,0,19
290135,73,2378,2151273,2678,0,20
290156,73,2362,2200875,2662,0,21
290179,70,2264,2252947,2564,0,23
290195,71,2291,2289603,2591,0,16
290214,72,2328,2333835,2628,0,19
290235,69,2225,2380560,2525,0,21
290256,70,2280,2428440,2580,0,21
290271,66,2122,2460270,2422,0,15
290292,68,2184,2506134,2484,0,21
290315,68,2187,2556435,2487,0,23
290336,66,2142,2601417,2442,0,21
290357,66,2116,2645853,2416,0,21
290376,65,2085,2685468,2385,0,19
290395,63,2021,2723867,2321,0,19
290412,65,2080,2759227,2380,0,17
290433,64,2070,2802697,2370,0,21
290452,65,2097,2842540,2397,0,19
290476,63,2029,2891236,2329,0,24
290495,61,1952,2928324,2252,0,19
290516,61,1947,2969211,2247,0,21
290535,58,1835,3004076,2135,0,19
290556,58,1832,3042548,2132,0,21
290577,57,1804,3080432,2104,0,21
290598,56,1784,3117896,2084,0,21
290618,55,1755,3152996,2055,0,20
290632,54,1720,3177076,2020,0,14
290648,52,1657,3203588,1957,0,16
290667,54,1722,3236306,2022,0,19
290691,54,1698,3277058,1998,0,24
290711,52,1628,3309618,1928,0,20
290734,50,1582,3346004,1882,0,23
290754,50,1566,3377324,1866,0,20
290775,49,1541,3409685,1841,0,21
290795,49,1534,3440365,1834,0,20
290819,48,1501,3476389,1801,0,24
290839,46,1419,3504769,1719,0,20
290861,46,1424,3536097,1724,0,22
290878,44,1364,3559285,1664,0,17
290901,44,1352,3590381,1652,0,23
290919,42,1312,3613997,1612,0,18
290944,42,1309,3646722,1609,0,25
290963,39,1207,3669655,1507,0,19
290987,40,1217,3698863,1517,0,24
291007,40,1215,3723163,1515,0,20
291026,39,1185,3745678,1485,0,19
291047,37,1111,3769009,1411,0,21
291068,37,1131,3792760,1431,0,21
291093,36,1081,3819785,1381,0,25
291111,35,1059,3838847,1359,0,18
291131,34,1032,3859487,1332,0,20
291155,33,992,3883295,1292,0,24
291169,33,982,3897043,1282,0,14
291190,31,934,3916657,1234,0,21
291215,31,903,3939232,1203,0,25
291234,30,879,3955933,1179,0,19
291253,28,831,3971722,1131,0,19
291274,29,834,3989236,1134,0,21
291295,27,798,4005994,1098,0,21
291315,26,762,4021234,1062,0,20
291334,26,737,4035237,1037,0,19
291359,24,691,4052512,991,0,25
291378,24,689,4065603,989,0,19
291401,24,667,4080944,967,0,23
291421,22,627,4093484,927,0,20
291442,22,606,4106210,906,0,21
291462,21,573,4117670,873,0,20
291482,20,541,4128490,841,0,20
291506,19,510,4140730,810,0,24
291528,18,483,4151356,783,0,22
291553,18,482,4163406,782,0,25
291573,16,425,4171906,725,0,20
291593,16,404,4179986,704,0,20
291616,16,394,4189048,694,0,23
291636,14,360,4196248,660,0,20
291659,13,326,4203746,626,0,23
291684,13,319,4211721,619,0,25
291704,12,278,4217281,578,0,20
291727,12,276,4223629,576,0,23
291747,11,252,4228669,552,0,20
291768,11,239,4233688,539,0,21
291792,11,230,4239208,530,0,24
291810,9,179,4242430,479,0,18
291831,9,171,4246021,471,0,21
291854,8,153,4249540,453,0,23
291875,8,141,4252501,441,0,21
291900,7,120,4255501,420,0,25
291922,6,87,4257415,387,0,22
291944,6,68,4258911,368,0,22
291963,6,73,4260298,373,0,19
291987,6,58,4261690,358,0,24
292005,5,30,4262230,330,0,18
292025,5,27,4262770,327,0,20
292051,0,-9,0,291,0,26
292073,-1,-39,-858,261,0,22
292093,0,-17,0,283,0,20
292115,-1,-44,-968,256,0,22
292135,-1,-50,-1968,250,0,20
292158,-2,-76,-3716,224,0,23
292183,-2,-80,-5716,220,0,25
292202,-3,-105,-7711,195,0,19
292223,-3,-122,-10273,178,0,21
292244,-2,-72,-11785,228,0,21
292267,-1,-63,-13234,237,0,23
292288,-2,-94,-15208,206,0,21
292308,-3,-109,-17388,191,0,20
292330,-3,-121,-20050,179,0,22
292352,-4,-137,-23064,163,0,22
292371,-4,-160,-26104,140,0,19
292393,-5,-182,-30108,118,0,22
292419,-4,-163,-34346,137,0,26
292440,-5,-182,-38168,118,0,21
292465,-5,-197,-43093,103,0,25
292487,-6,-214,-47801,86,0,22
292509,-6,-199,-52179,101,0,22
292531,-5,-197,-56513,103,0,22
292551,-5,-183,-60173,117,0,20
292576,-6,-198,-65123,102,0,25
292596,-6,-208,-69283,92,0,20
292621,-5,-194,-74133,106,0,25
292643,-5,-181,-78115,119,0,22
292663,-5,-191,-81935,109,0,20
292685,-6,-202,-86379,98,0,22
292705,-5,-182,-90019,118,0,20
292727,-6,-215,-94749,85,0,22
292750,-5,-185,-99004,115,0,23
292771,-6,-212,-103456,88,0,21
292791,-5,-190,-107256,110,0,20
292813,-6,-208,-111832,92,0,22
292839,-5,-194,-116876,106,0,26
292865,-5,-192,-121868,108,0,26
292881,-5,-192,-124940,108,0,16
292902,-5,-189,-128909,111,0,21
292928,-5,-182,-133641,118,0,26
292953,-5,-184,-138241,116,0,25
292972,-5,-183,-141718,117,0,19
292997,-5,-180,-146218,120,0,25
293021,-5,-178,-150490,122,0,24
293044,-5,-168,-154354,132,0,23
293067,-5,-167,-158195,133,0,23
293088,-5,-166,-161681,134,0,21
293108,-5,-162,-164921,138,0,20
293134,-4,-157,-169003,143,0,26
293150,-5,-169,-171707,131,0,16
293170,-4,-159,-174887,141,0,20
293195,-4,-160,-178887,140,0,25
293216,-4,-154,-182121,146,0,21
293238,-4,-149,-185399,151,0,22
293263,-4,-154,-189249,146,0,25
293290,-4,-147,-193218,153,0,27
293309,-4,-155,-196163,145,0,19
293330,-4,-145,-199208,155,0,21
293354,-4,-141,-202592,159,0,24
293378,-4,-154,-206288,146,0,24
293398,-4,-141,-209108,159,0,20
293418,-4,-149,-212088,151,0,20
293442,-4,-129,-215184,171,0,24
293462,-4,-135,-217884,165,0,20
293485,-4,-147,-221265,153,0,23
293504,-4,-148,-224077,152,0,19
293525,-4,-143,-227080,157,0,21
293545,-4,-146,-230000,154,0,20
293571,-4,-137,-233562,163,0,26
293593,-4,-135,-236532,165,0,22
293614,-4,-133,-239325,167,0,21
293640,-5,-159,-243459,141,0,26
293660,-4,-147,-246399,153,0,20
293685,-4,-126,-249549,174,0,25
293705,-4,-138,-252309,162,0,20
293729,-4,-149,-255885,151,0,24
293749,-4,-135,-258585,165,0,20
293769,-4,-152,-261625,148,0,20
293791,-4,-130,-264485,170,0,22
293812,-4,-132,-267257,168,0,21
293837,-3,-123,-270332,177,0,25
293861,-4,-134,-273548,166,0,24
293885,-4,-131,-276692,169,0,24
293907,-4,-127,-279486,173,0,22
293932,-5,-162,-283536,138,0,25
293952,-4,-150,-286536,150,0,20
293977,-4,-130,-289786,170,0,25
293999,-4,-138,-292822,162,0,22
294020,-4,-139,-295741,161,0,21
294043,-4,-148,-299145,152,0,23
294066,-4,-136,-302273,164,0,23
294092,-4,-139,-305887,161,0,26
294109,-4,-132,-308131,168,0,17
294129,-4,-136,-310851,164,0,20
294155,-4,-133,-314309,167,0,26
294180,-4,-140,-317809,160,0,25
294199,-4,-138,-320431,162,0,19
294225,-4,-144,-324175,156,0,26
294245,-4,-142,-327015,158,0,20
294269,-4,-144,-330471,156,0,24
294292,-4,-148,-333875,152,0,23
294316,-4,-135,-337115,165,0,24
294337,-4,-144,-340139,156,0,21
294357,-4,-147,-343079,153,0,20
294383,-4,-136,-346615,164,0,26
294407,-4,-148,-350167,152,0,24
294428,-4,-150,-353317,150,0,21
294449,-4,-130,-356047,170,0,21
294472,-4,-146,-359405,154,0,23
294497,-4,-136,-362805,164,0,25
294517,-4,-142,-365645,158,0,20
294537,-4,-150,-368645,150,0,20
294560,-4,-144,-371957,156,0,23
294582,-5,-157,-375411,143,0,22
294607,-4,-146,-379061,154,0,25
294626,-4,-139,-381702,161,0,19
294651,-5,-155,-385577,145,0,25
294678,-4,-139,-389330,161,0,27
294699,-4,-143,-392333,157,0,21
294721,-4,-137,-395347,163,0,22
294742,-4,-142,-398329,158,0,21
294768,-4,-147,-402151,153,0,26
294790,-4,-137,-405165,163,0,22
294812,-4,-137,-408179,163,0,22
294834,-4,-145,-411369,155,0,22
294856,-4,-150,-414669,150,0,22
294876,-4,-151,-417689,149,0,20
294901,-4,-141,-421214,159,0,25
294927,-4,-137,-424776,163,0,26
294948,-4,-132,-427548,168,0,21
294968,-4,-143,-430408,157,0,20
294994,-4,-140,-434048,160,0,26
295020,-4,-138,-437636,162,0,26
295042,-4,-145,-440826,155,0,22
295063,-4,-135,-443661,165,0,21
295089,-4,-140,-447301,160,0,26
295107,-4,-128,-449605,172,0,18
295128,-4,-146,-452671,154,0,21
295148,-4,-128,-455231,172,0,20
295169,-4,-147,-458318,153,0,21
295195,-4,-150,-462218,150,0,26
295221,-5,-153,-466196,147,0,26
295243,-4,-136,-469188,164,0,22
295268,-4,-150,-472938,150,0,25
295293,-4,-142,-476488,158,0,25
295313,-4,-132,-479128,168,0,20
295337,-4,-123,-482080,177,0,24
295357,-5,-152,-485120,148,0,20
295382,-5,-161,-489145,139,0,25
295408,-4,-136,-492681,164,0,26
295428,-5,-151,-495701,149,0,20
295448,-4,-145,-498601,155,0,20
295474,-4,-133,-502059,167,0,26
295493,-4,-132,-504567,168,0,19
295519,-4,-146,-508363,154,0,26
295545,-4,-143,-512081,157,0,26
295566,-5,-153,-515294,147,0,21
295589,-4,-143,-518583,157,0,23
295612,-5,-152,-522079,148,0,23
295633,-4,-127,-524746,173,0,21
295655,-4,-136,-527738,164,0,22
295676,-4,-147,-530825,153,0,21
295697,-4,-130,-533555,170,0,21
295718,-4,-143,-536558,157,0,21
295740,-4,-132,-539462,168,0,22
295760,-4,-148,-542422,152,0,20
295784,-5,-153,-546094,147,0,24
295804,-4,-140,-548894,160,0,20
295824,-4,-135,-551594,165,0,20
295846,-4,-143,-554740,157,0,22
295867,-4,-122,-557302,178,0,21
295889,-4,-134,-560250,166,0,22
295909,-4,-132,-562890,168,0,20
295934,-4,-137,-566315,163,0,25
295954,-5,-152,-569355,148,0,20
295979,-4,-146,-573005,154,0,25
296001,-4,-124,-575733,176,0,22
296022,-5,-148,-578841,152,0,21
296045,-5,-157,-582452,143,0,23
296065,-4,-128,-585012,172,0,20
296090,-4,-131,-588287,169,0,25
296112,-4,-142,-591411,158,0,22
296134,-4,-142,-594535,158,0,22
296156,-4,-144,-597703,156,0,22
296182,-4,-134,-601187,166,0,26
296202,-4,-139,-603967,161,0,20
296222,-4,-139,-606747,161,0,20
296246,-5,-151,-610371,149,0,24
296267,-5,-159,-613710,141,0,21
296289,-5,-150,-617010,150,0,22
296312,-5,-148,-620414,152,0,23
296338,-4,-145,-624184,155,0,26
296359,-4,-139,-627103,161,0,21
296381,-4,-143,-630249,157,0,22
296408,-5,-146,-634191,154,0,27
296430,-4,-143,-637337,157,0,22
296455,-4,-143,-640912,157,0,25
296476,-4,-142,-643894,158,0,21
296498,-5,-155,-647304,145,0,22
296519,-5,-148,-650412,152,0,21
296541,-4,-128,-653228,172,0,22
296564,-4,-133,-656287,167,0,23
296586,-4,-132,-659191,168,0,22
296613,-5,-145,-663106,155,0,27
296636,-4,-137,-666257,163,0,23
296654,-4,-137,-668723,163,0,18
296676,-4,-136,-671715,164,0,22
296698,-4,-137,-674729,163,0,22
296725,-5,-145,-678644,155,0,27
296748,-4,-142,-681910,158,0,23
296766,-4,-141,-684448,159,0,18
296787,-4,-136,-687304,164,0,21
296809,-5,-147,-690538,153,0,22
296835,-5,-145,-694308,155,0,26
296857,-5,-155,-697718,145,0,22
296879,-4,-141,-700820,159,0,22
296900,-4,-137,-703697,163,0,21
296922,-5,-144,-706865,156,0,22
296942,-5,-145,-709765,155,0,20
296968,-4,-140,-713405,160,0,26
296992,-5,-147,-716933,153,0,24
297013,-5,-144,-719957,156,0,21
297035,-4,-136,-722949,164,0,22
297055,-5,-159,-726129,141,0,20
297075,-5,-145,-729029,155,0,20
297099,-4,-139,-732365,161,0,24
297121,-4,-128,-735181,172,0,22
297146,-4,-137,-738606,163,0,25
297166,-4,-131,-741226,169,0,20
297191,-5,-156,-745126,144,0,25
297211,-4,-137,-747866,163,0,20
297231,-4,-135,-750566,165,0,20
297254,-4,-136,-753694,164,0,23
297276,-4,-135,-756664,165,0,22
297301,-5,-145,-760289,155,0,25
297327,-5,-151,-764215,149,0,26
297348,-5,-148,-767323,152,0,21
297372,-4,-135,-770563,165,0,24
297394,-5,-154,-773951,146,0,22
297419,-4,-139,-777426,161,0,25
297440,-4,-124,-780030,176,0,21
297461,-4,-133,-782823,167,0,21
297483,-4,-139,-785881,161,0,22
297508,-4,-139,-789356,161,0,25
297528,-4,-132,-791996,168,0,20
297553,-4,-140,-795496,160,0,25
297576,-5,-152,-798992,148,0,23
297599,-5,-141,-802235,159,0,23
297624,-4,-135,-805610,165,0,25
297644,-5,-140,-808410,160,0,20
297670,-4,-136,-811946,164,0,26
297691,-5,-145,-814991,155,0,21
297712,-5,-140,-817931,160,0,21
297737,-4,-137,-821356,163,0,25
297763,-4,-129,-824710,171,0,26
297789,-5,-142,-828402,158,0,26
297810,-5,-149,-831531,151,0,21
297830,-4,-136,-834251,164,0,20
297856,-5,-141,-837917,159,0,26
297877,-5,-141,-840878,159,0,21
297898,-5,-142,-843860,158,0,21
297922,-5,-149,-847436,151,0,24
297945,-4,-131,-850449,169,0,23
297970,-5,-146,-854099,154,0,25
297993,-5,-139,-857296,161,0,23
298013,-5,-154,-860376,146,0,20
298036,-5,-144,-863688,156,0,23
298057,-5,-150,-866838,150,0,21
298079,-5,-143,-869984,157,0,22
298102,-5,-141,-873227,159,0,23
298123,-4,-128,-875915,172,0,21
298145,-4,-131,-878797,169,0,22
298171,-5,-143,-882515,157,0,26
298196,-5,-138,-885965,162,0,25
298217,-5,-151,-889136,149,0,21
298240,-4,-134,-892218,166,0,23
298266,-5,-147,-896040,153,0,26
298289,-4,-126,-898938,174,0,23
298314,-4,-130,-902188,170,0,25
298337,-5,-142,-905454,158,0,23
298359,-4,-136,-908446,164,0,22
298379,-5,-137,-911186,163,0,20
298404,-4,-136,-914586,164,0,25
298428,-5,-137,-917874,163,0,24
298446,-5,-145,-920484,155,0,18
298467,-5,-136,-923340,164,0,21
298492,-5,-137,-926765,163,0,25
298514,-5,-142,-929889,158,0,22
298539,-4,-135,-933264,165,0,25
298557,-5,-141,-935802,159,0,18
298577,-5,-151,-938822,149,0,20
298602,-5,-139,-942297,161,0,25
298628,-5,-141,-945963,159,0,26
298655,-5,-146,-949905,154,0,27
298671,-5,-144,-952209,156,0,16
298692,-4,-131,-954960,169,0,21
298716,-5,-138,-958272,162,0,24
298737,-5,-138,-961170,162,0,21
298762,-5,-150,-964920,150,0,25
298783,-4,-134,-967734,166,0,21
298806,-4,-133,-970793,167,0,23
298831,-5,-149,-974518,151,0,25
298850,-5,-151,-977387,149,0,19
298871,-5,-157,-980684,143,0,21
298895,-4,-126,-983708,174,0,24
298920,-4,-132,-987008,168,0,25
298946,-5,-143,-990726,157,0,26
298968,-5,-139,-993784,161,0,22
298990,-5,-134,-996732,166,0,22
299013,-5,-142,-999998,158,0,23
299035,-5,-134,-1002946,166,0,22
299057,-5,-139,-1006004,161,0,22
299078,-4,-133,-1008797,167,0,21
299098,-5,-137,-1011537,163,0,20
299124,-5,-137,-1015099,163,0,26
299143,-5,-158,-1018101,142,0,19
299167,-5,-138,-1021413,162,0,24
299188,-5,-150,-1024563,150,0,21
299210,-5,-140,-1027643,160,0,22
299235,-5,-146,-1031293,154,0,25
299257,-4,-130,-1034153,170,0,22
299282,-5,-147,-1037828,153,0,25
299307,-5,-135,-1041203,165,0,25
299331,-5,-134,-1044419,166,0,24
