Timestamps,Speed,P Error,I Error,Distance,Data Available,dt
1805138,47,230,49890,530,1,11
1822167,20,200,0,500,0,0
1822167,20,200,0,500,0,0
1822310,80,825,1,1125,1,143
1822310,80,825,1,1125,1,143
1822328,80,903,16255,1203,0,18
1822328,80,903,16255,1203,0,18
1822337,36,268,18667,568,1,9
1822337,36,268,18667,568,1,9
1822348,13,42,19129,342,0,11
1822348,13,42,19129,342,0,11
1822359,22,127,20526,427,1,11
1822359,22,127,20526,427,1,11
1822373,14,38,21058,338,0,14
1822373,14,38,21058,338,0,14
1822384,33,215,23423,515,1,11
1822384,33,215,23423,515,1,11
1822400,40,271,27759,571,0,16
1822400,40,271,27759,571,0,16
1822406,33,190,28899,490,1,6
1822406,33,190,28899,490,1,6
1822417,33,178,30857,478,0,11
1822417,33,178,30857,478,0,11
1822422,31,160,31657,460,0,5
1822422,31,160,31657,460,0,5
1822433,47,303,34990,603,1,11
1822433,47,303,34990,603,1,11
1822439,51,328,36958,628,0,6
1822439,51,328,36958,628,0,6
1822449,59,394,40898,694,0,10
1822449,59,394,40898,694,0,10
1822455,34,133,41696,433,1,6
1822455,34,133,41696,433,1,6
1822466,25,48,42224,348,0,11
1822466,25,48,42224,348,0,11
1822471,13,-75,41849,225,0,5
1822471,13,-75,41849,225,0,5
1822479,77,547,46225,847,1,8
1822479,77,547,46225,847,1,8
1822490,80,736,54321,1036,0,11
1822490,80,736,54321,1036,0,11
1822495,80,1012,59381,1312,0,5
1822495,80,1012,59381,1312,0,5
1822505,51,207,61451,507,1,10
1822505,51,207,61451,507,1,10
1822516,37,64,62155,364,0,11
1822516,37,64,62155,364,0,11
1822521,16,-145,61430,155,0,5
1822521,16,-145,61430,155,0,5
1822527,59,276,63086,576,1,6
1822527,59,276,63086,576,1,6
1822538,64,310,66496,610,0,11
1822538,64,310,66496,610,0,11
1822548,80,510,71596,810,1,10
1822548,80,510,71596,810,1,10
1822559,80,632,78548,932,0,11
1822559,80,632,78548,932,0,11
1822569,64,649,1,949,1,10
1822569,64,649,1,949,1,10
1822580,76,721,7932,1021,0,11
1822580,76,721,7932,1021,0,11
1822591,44,385,12167,685,1,11
1822591,44,385,12167,685,1,11
1822608,25,181,15244,481,0,17
1822608,25,181,15244,481,0,17
1822619,34,256,18060,556,1,11
1822619,34,256,18060,556,1,11
1822630,30,206,20326,506,0,11
1822630,30,206,20326,506,0,11
1822635,23,133,20991,433,0,5
1822635,23,133,20991,433,0,5
1822646,42,304,24335,604,1,11
1822646,42,304,24335,604,1,11
1822660,47,328,28927,628,0,14
1822660,47,328,28927,628,0,14
1822671,35,197,31094,497,1,11
1822671,35,197,31094,497,1,11
1822687,29,129,33158,429,0,16
1822687,29,129,33158,429,0,16
1822697,53,352,36678,652,1,10
1822697,53,352,36678,652,1,10
1822708,62,417,41265,717,0,11
1822708,62,417,41265,717,0,11
1822715,74,524,44933,824,0,7
1822715,74,524,44933,824,0,7
1822726,56,326,48519,626,1,11
1822726,56,326,48519,626,1,11
1822736,57,318,51699,618,0,10
1822736,57,318,51699,618,0,10
1822752,53,257,55811,557,1,16
1822752,53,257,55811,557,1,16
1822763,51,228,58319,528,0,11
1822763,51,228,58319,528,0,11
1822774,53,234,60893,534,1,11
1822774,53,234,60893,534,1,11
1822785,53,223,63346,523,0,11
1822785,53,223,63346,523,0,11
1822796,61,279,66415,579,1,11
1822796,61,279,66415,579,1,11
1822807,64,301,69726,601,0,11
1822807,64,301,69726,601,0,11
1822818,60,247,72443,547,1,11
1822818,60,247,72443,547,1,11
1822823,60,240,73643,540,0,5
1822823,60,240,73643,540,0,5
1822834,59,217,76030,517,0,11
1822834,59,217,76030,517,0,11
1822839,64,260,77330,560,1,5
1822839,64,260,77330,560,1,5
1822850,26,266,1,566,0,11
1822850,26,266,1,566,0,11
1822856,73,718,4309,1018,1,6
1822856,73,718,4309,1018,1,6
1822867,80,1014,15463,1314,0,11
1822867,80,1014,15463,1314,0,11
1822872,80,1445,22688,1745,0,5
1822872,80,1445,22688,1745,0,5
1822879,48,363,25229,663,1,7
1822879,48,363,25229,663,1,7
1822890,33,194,27363,494,0,11
1822890,33,194,27363,494,0,11
1822901,63,475,32588,775,1,11
1822901,63,475,32588,775,1,11
1822912,72,531,38429,831,0,11
1822912,72,531,38429,831,0,11
1822922,44,239,40819,539,1,10
1822922,44,239,40819,539,1,10
1822939,25,48,41635,348,0,17
1822939,25,48,41635,348,0,17
1822950,55,329,45254,629,1,11
1822950,55,329,45254,629,1,11
1822961,61,364,49258,664,0,11
1822961,61,364,49258,664,0,11
1822970,45,204,51094,504,1,9
1822970,45,204,51094,504,1,9
1822981,39,136,52590,436,0,11
1822981,39,136,52590,436,0,11
