Timestamps,Speed,P Error,I Error,Distance,Data Available,dt
79425,0,0,0,4030,0,79425
79429,0,0,0,4102,0,4
79484,0,0,0,4125,0,55
79543,0,0,0,4115,0,59
79644,0,0,0,4044,0,101
79742,0,0,0,4056,0,98
79839,0,0,0,4001,0,97
79941,0,0,0,3951,0,102
80037,0,0,0,3889,0,96
80137,0,0,0,3832,0,100
80238,0,0,0,3745,0,101
80334,0,0,0,3668,0,96
80436,0,0,0,3568,0,102
80536,0,0,0,3480,0,100
80633,0,0,0,3349,0,97
80731,0,0,0,3215,0,98
80830,0,0,0,3090,0,99
80931,0,0,0,2961,0,101
81030,0,0,0,2791,0,99
81127,0,0,0,2624,0,97
81226,0,0,0,2450,0,99
81323,0,0,0,2268,0,97
81423,0,0,0,2089,0,100
81521,0,0,0,1907,0,98
81621,0,0,0,1718,0,100
81721,0,0,0,1515,0,100
81823,0,0,0,1309,0,102
81923,0,0,0,1099,0,100
82021,0,0,0,890,0,98
82125,0,0,0,672,0,104
82225,0,0,0,443,0,100
