time,speed,p_error,i_error,tof_distance,kalman_distance,dt
59565,91,1828,18.0,2249,2128.565,59565
59711,96,1921,37.0,2282,2221.027,146
59728,96,1920,56.0,2282,2220.77,17
59739,96,1920,75.0,2282,2220.237,11
59750,95,1919,94.0,2282,2219.433,11
59762,95,1918,113.0,2282,2218.362,12
59767,97,1948,132.0,2254,2248.407,5
59780,97,1946,151.0,2254,2246.832,13
59785,97,1944,170.0,2254,2244.998,5
59791,97,1942,189.0,2254,2242.91,6
59802,97,1940,208.0,2254,2240.572,11
59808,96,1937,227.0,2254,2237.987,6
59813,96,1935,246.0,2254,2235.16,5
59826,96,1932,265.0,2254,2232.097,13
59837,96,1928,284.0,2254,2228.802,11
59851,96,1925,303.0,2254,2225.279,14
59858,96,1921,322.0,2254,2221.53,7
59863,95,1917,341.0,2254,2217.559,5
59869,95,1913,360.0,2213,2213.026,6
59880,95,1908,379.0,2213,2208.625,11
59886,95,1904,398.0,2213,2204.015,6
59897,94,1899,416.0,2213,2199.199,11
59909,94,1894,434.0,2213,2194.181,12
59920,94,1888,452.0,2213,2188.966,11
59934,94,1883,470.0,2213,2183.558,14
59941,93,1877,488.0,2213,2177.96,7
59952,93,1872,506.0,2213,2172.174,11
59966,93,1866,524.0,2213,2166.206,14
59973,91,1822,542.0,2119,2122.394,7
59984,90,1816,560.0,2119,2116.016,11
59999,90,1809,578.0,2119,2109.471,15
60004,90,1802,596.0,2119,2102.765,5
60010,89,1795,613.0,2119,2095.9,6
60015,89,1788,630.0,2119,2088.878,5
60023,89,1781,647.0,2119,2081.706,8
60028,88,1774,664.0,2119,2074.384,5
60041,88,1766,681.0,2119,2066.916,13
60052,87,1759,698.0,2119,2059.307,11
60063,87,1751,715.0,2119,2051.558,11
60074,88,1768,732.0,2071,2068.926,11
60090,88,1760,749.0,2071,2060.958,16
60096,87,1752,766.0,2071,2052.856,6
60101,87,1744,783.0,2071,2044.622,5
60112,86,1736,800.0,2071,2036.261,11
60120,86,1727,817.0,2071,2027.776,8
60125,85,1719,834.0,2071,2019.171,5
60131,85,1710,851.0,2071,2010.448,6
60136,85,1701,868.0,2071,2001.611,5
60142,84,1692,884.0,2071,1992.663,6
60153,84,1683,900.0,2071,1983.605,11
60158,83,1674,916.0,2071,1974.442,5
60164,83,1665,932.0,2071,1965.175,6
60171,82,1655,948.0,1956,1955.987,7
60182,82,1646,964.0,1956,1946.523,11
60188,81,1636,980.0,1956,1936.967,6
60193,81,1627,996.0,1956,1927.318,5
60204,80,1617,1012.0,1956,1917.582,11
60212,80,1607,1028.0,1956,1907.759,8
60217,79,1597,1043.0,1956,1897.855,5
60223,79,1587,1058.0,1956,1887.87,6
60235,78,1577,1073.0,1956,1877.808,12
60240,78,1567,1088.0,1956,1867.671,5
60253,77,1557,1103.0,1956,1857.463,13
60258,77,1547,1118.0,1956,1847.184,5
60264,76,1536,1133.0,1956,1836.84,6
60278,78,1562,1148.0,1865,1862.494,14
60289,77,1552,1163.0,1865,1852.106,11
60294,77,1541,1178.0,1865,1841.649,5
60300,76,1531,1193.0,1865,1831.129,6
60305,76,1520,1208.0,1865,1820.547,5
60310,75,1509,1223.0,1865,1809.906,5
60321,74,1499,1237.0,1865,1799.207,11
60329,74,1488,1251.0,1865,1788.454,8
