control_timestamps,yaw,distance,distance_2,motor_input
24767,3.217,661,221,53.0
24770,3.217,661,221,51.0
24784,3.217,661,221,50.0
24795,3.217,661,221,50.0
24807,3.217,661,221,50.0
24825,2.961,658,221,50.0
24834,2.961,658,221,50.0
24843,2.961,658,221,50.0
24854,2.961,658,221,50.0
24873,2.954,658,221,50.0
24883,2.954,658,221,50.0
24894,2.954,658,221,50.0
24907,2.954,658,226,50.0
24918,3.081,658,226,50.0
24932,3.081,661,226,50.0
24945,3.081,661,226,50.0
24957,3.081,661,226,50.0
24964,3.081,661,226,50.0
24976,3.04,661,226,50.0
24986,3.04,661,226,50.0
24998,3.04,661,226,50.0
25011,3.04,661,221,50.0
25016,3.04,661,221,50.0
25025,3.041,661,221,50.0
25043,3.041,661,221,50.0
25055,3.041,661,221,50.0
25067,3.041,661,221,50.0
25087,2.878,661,221,50.0
25107,2.878,661,220,50.0
25117,2.878,661,220,50.0
25136,2.964,658,220,50.0
25145,2.964,658,220,50.0
25150,2.964,658,220,50.0
25161,2.964,658,220,50.0
25171,2.964,658,220,50.0
25185,2.889,658,220,50.0
25204,2.889,658,220,50.0
25216,2.889,658,225,50.0
25227,2.889,659,225,50.0
25238,2.732,659,225,50.0
25251,2.732,659,225,50.0
25259,2.732,659,225,50.0
25276,2.732,659,225,50.0
25283,2.732,659,225,50.0
25294,2.831,659,225,50.0
25304,2.831,659,223,50.0
25311,2.831,659,223,50.0
25315,2.831,659,223,50.0
25320,2.831,659,223,50.0
25327,2.831,660,223,50.0
25337,2.831,660,223,50.0
25353,2.761,660,223,50.0
25364,2.761,660,223,250.0
25373,2.761,660,223,250.0
25380,2.761,660,223,240.0
25387,2.761,660,223,229.0
25391,2.761,660,223,220.0
25404,3.43,660,225,201.0
25410,3.43,660,225,194.0
25413,3.43,660,225,188.0
25423,3.43,660,225,182.0
25432,3.43,660,225,177.0
25442,3.43,660,225,173.0
25451,12.283,660,225,50.0
25456,12.283,660,225,50.0
25466,12.283,660,225,50.0
25479,12.283,660,225,50.0
25485,12.283,660,225,50.0
25496,12.283,660,225,50.0
25510,22.324,660,207,50.0
25531,22.324,680,207,50.0
25541,22.324,680,207,50.0
25546,22.324,680,207,50.0
25553,25.719,680,207,50.0
25568,25.719,680,207,50.0
25579,25.719,680,207,50.0
25592,25.719,680,207,50.0
25602,25.719,680,215,50.0
25613,25.04,680,215,50.0
25627,25.04,698,215,50.0
25638,25.04,698,215,50.0
25645,25.04,698,215,50.0
25656,25.04,698,215,50.0
25674,25.089,698,215,50.0
25684,25.089,698,215,50.0
25695,25.089,698,215,50.0
25710,25.089,698,213,50.0
25720,25.025,698,213,50.0
25728,25.025,693,213,50.0
25737,25.025,693,213,50.0
25753,25.025,693,213,50.0
25761,25.025,693,213,50.0
25772,24.982,693,213,50.0
25781,24.982,693,213,50.0
25792,24.982,693,213,50.0
25808,24.982,693,215,50.0
25814,24.982,693,215,50.0
25834,25.071,698,215,50.0
25842,25.071,698,215,50.0
25848,25.071,698,215,50.0
25853,25.071,698,215,50.0
25859,25.071,698,215,50.0
25876,25.031,698,215,50.0
25886,25.031,698,215,50.0
25892,25.031,698,215,50.0
25901,25.031,698,215,50.0
25912,25.031,698,211,50.0
25930,24.982,700,211,50.0
25935,24.982,700,211,50.0
25939,24.982,700,211,50.0
25950,24.982,700,211,207.0
25961,24.982,700,211,198.0
25964,24.982,700,211,190.0
25969,24.982,700,211,183.0
25975,24.982,700,211,177.0
25983,25.381,700,211,164.0
25992,25.381,700,211,160.0
25999,25.381,700,211,155.0
26008,25.381,700,213,151.0
26017,25.381,700,213,148.0
26029,25.381,707,213,145.0
26041,31.828,707,213,50.0
26049,31.828,707,213,50.0
26064,31.828,707,213,50.0
26070,31.828,707,213,50.0
26083,41.34,707,213,50.0
26092,41.34,707,213,50.0
26104,41.34,707,212,50.0
26114,41.34,707,212,50.0
26121,41.34,707,212,50.0
26138,41.34,799,212,50.0
26158,44.448,799,212,50.0
26172,44.448,799,212,50.0
26183,44.448,799,212,50.0
26192,43.671,799,212,50.0
26212,43.671,799,196,50.0
26222,43.671,799,196,50.0
26231,43.671,844,196,50.0
26248,43.478,844,196,50.0
26265,43.478,844,196,50.0
26276,43.478,844,196,50.0
26283,43.478,844,196,50.0
26302,43.433,844,197,50.0
26311,43.433,844,197,50.0
26323,43.433,844,197,50.0
26334,43.433,837,197,50.0
26344,43.433,837,197,50.0
26361,43.446,837,197,50.0
26376,43.446,837,197,50.0
26387,43.446,837,197,50.0
26399,43.446,837,196,50.0
26411,43.579,837,196,50.0
26421,43.579,837,196,50.0
26432,43.579,843,196,50.0
26445,43.579,843,196,50.0
26451,43.579,843,196,50.0
26464,43.357,843,196,50.0
26473,43.357,843,196,50.0
26479,43.357,843,196,50.0
26485,43.357,843,196,50.0
26496,43.357,843,196,50.0
26506,43.357,843,196,50.0
26520,43.375,843,196,50.0
26523,43.375,843,196,50.0
26529,43.375,836,196,50.0
26539,43.375,836,196,50.0
26552,43.375,836,196,247.0
26562,43.221,836,196,238.0
26568,43.221,836,196,228.0
26574,43.221,836,196,219.0
26583,43.221,836,196,210.0
26589,43.221,836,196,202.0
26596,43.221,836,199,196.0
26604,43.221,836,199,189.0
26617,49.272,836,199,82.0
26627,49.272,864,199,83.0
26637,49.272,864,199,83.0
26650,49.272,864,199,83.0
26659,49.272,864,199,83.0
26677,58.104,864,199,50.0
26687,58.104,864,199,50.0
26702,58.104,864,201,50.0
26713,58.104,864,201,50.0
26732,63.133,865,201,50.0
26741,63.133,865,201,50.0
26749,63.133,865,201,50.0
26760,63.133,865,201,50.0
26778,63.056,865,201,50.0
26788,63.056,865,201,50.0
26794,63.056,865,204,50.0
26808,63.056,865,204,50.0
26814,63.056,865,204,50.0
26827,62.091,815,204,50.0
26836,62.091,815,204,50.0
26852,62.091,815,204,50.0
26864,62.091,815,204,50.0
26880,62.25,815,204,50.0
26884,62.25,815,204,50.0
26891,62.25,815,207,50.0
26911,62.25,815,207,50.0
26924,62.25,822,207,50.0
26940,62.304,822,207,50.0
26950,62.304,822,207,50.0
26958,62.304,822,207,50.0
26969,62.304,822,207,50.0
26981,62.304,822,207,50.0
26994,62.327,822,205,50.0
27005,62.327,822,205,50.0
27011,62.327,822,205,50.0
27023,62.327,818,205,50.0
27033,62.327,818,205,50.0
27040,62.33,818,205,50.0
27045,62.33,818,205,50.0
27055,62.33,818,205,50.0
27066,62.33,818,205,50.0
27077,62.33,818,205,50.0
27083,62.33,818,205,50.0
27089,62.33,818,203,50.0
27095,62.307,818,203,50.0
27104,62.307,818,203,50.0
27115,62.307,818,203,50.0
27128,62.307,820,203,50.0
27137,62.307,820,203,50.0
27150,62.368,820,203,250.0
27163,62.368,820,203,250.0
27168,62.368,820,203,248.0
27185,62.368,820,205,238.0
27190,62.368,820,205,228.0
27197,64.563,820,205,182.0
27205,64.563,820,205,176.0
27217,64.563,820,205,171.0
27228,64.563,805,205,166.0
27234,64.563,805,205,162.0
27241,64.563,805,205,158.0
27245,64.563,805,205,155.0
27257,75.415,805,205,50.0
27267,75.415,805,205,50.0
27278,75.415,805,205,50.0
27290,75.415,805,207,50.0
27295,75.415,805,207,50.0
27312,86.109,805,207,50.0
27319,86.109,805,207,50.0
27329,86.109,696,207,50.0
27333,86.109,696,207,50.0
27338,86.109,696,207,50.0
27344,86.109,696,207,50.0
27349,86.109,696,207,50.0
27363,90.791,696,207,114.0
27383,90.791,696,335,112.0
27393,90.791,696,335,109.0
27405,90.791,696,335,107.0
27418,88.453,696,335,65.0
27429,88.453,656,335,66.0
27441,88.453,656,335,66.0
27451,88.453,656,335,66.0
27469,86.122,656,335,50.0
27475,86.122,656,335,50.0
27480,86.122,656,312,50.0
27490,86.122,656,312,50.0
27501,86.122,656,312,50.0
27511,86.122,656,312,50.0
27528,86.058,665,312,50.0
27544,86.058,665,312,50.0
27554,86.058,665,312,50.0
27564,86.058,665,312,50.0
27571,86.014,665,312,50.0
27576,86.014,665,293,50.0
27584,86.014,665,293,50.0
27597,86.014,665,293,50.0
27603,86.014,665,293,50.0
27609,86.014,665,293,50.0
27614,86.014,665,293,50.0
27620,85.895,665,293,50.0
27632,85.895,670,293,50.0
27635,85.895,670,293,50.0
27646,85.895,670,293,50.0
27659,85.895,670,293,50.0
27668,85.895,670,293,50.0
27685,85.789,670,288,50.0
27696,85.789,670,288,50.0
27701,85.789,670,288,50.0
27707,85.789,670,288,50.0
27718,85.789,670,288,50.0
27730,85.85,674,288,50.0
27738,85.85,674,288,50.0
27753,85.85,674,288,184.0
