control_timestamps,yaw,distance,distance_2,motor_input
35229,3.744,702,224,62.0
35237,3.744,702,224,59.0
35248,3.744,702,224,56.0
35260,3.516,702,224,50.0
35275,3.516,702,224,47.0
35286,3.516,702,224,45.0
35302,3.516,702,224,44.0
35317,3.036,702,224,40.0
35329,3.036,698,223,40.0
35343,3.036,698,223,40.0
35364,3.036,698,223,40.0
35382,3.146,698,223,40.0
35394,3.146,698,223,40.0
35403,3.146,698,223,40.0
35414,3.146,698,223,40.0
35433,3.129,699,226,40.0
35441,3.129,699,226,40.0
35457,3.129,699,226,40.0
35473,3.005,699,226,40.0
35490,3.005,699,226,40.0
35506,3.005,699,226,40.0
35525,3.005,699,222,40.0
35535,2.963,699,222,40.0
35549,2.963,699,222,40.0
35555,2.963,699,222,40.0
35565,2.963,699,222,40.0
35573,2.963,699,222,40.0
35589,2.917,699,222,40.0
35600,2.917,699,222,40.0
35614,2.917,699,222,40.0
35625,2.917,698,226,40.0
35645,2.918,698,226,40.0
35654,2.918,698,226,40.0
35660,2.918,698,226,40.0
35668,2.918,698,226,40.0
35687,2.862,698,226,40.0
35693,2.862,698,226,40.0
35706,2.862,698,226,40.0
35715,2.862,698,226,40.0
35734,2.862,697,223,40.0
35749,2.875,697,223,40.0
35761,2.875,697,223,40.0
35770,2.875,697,223,40.0
35781,2.875,697,223,40.0
35788,2.758,697,223,40.0
35797,2.758,697,223,40.0
35803,2.758,697,223,40.0
35814,2.758,697,223,40.0
35820,2.758,697,223,40.0
35831,2.758,698,223,40.0
35836,2.758,698,223,40.0
35848,2.785,698,223,40.0
35858,2.785,698,223,40.0
35864,2.785,698,223,40.0
35880,2.785,698,223,40.0
35902,2.687,698,223,40.0
35912,2.687,698,223,40.0
35924,2.687,698,229,40.0
35939,2.687,696,229,40.0
35944,2.687,696,229,40.0
35956,2.733,696,229,40.0
35960,2.733,696,229,40.0
35970,2.733,696,229,40.0
35981,2.733,696,229,40.0
35987,2.733,696,229,40.0
35996,2.733,696,229,40.0
36003,2.699,696,229,40.0
36012,2.699,696,229,40.0
36019,2.699,696,221,40.0
36029,2.699,699,221,40.0
36034,2.699,699,221,40.0
36044,2.699,699,221,40.0
36057,2.635,699,221,40.0
36068,2.635,699,221,40.0
36072,2.635,699,221,40.0
36078,2.635,699,221,40.0
36088,2.635,699,221,40.0
36101,2.635,699,221,40.0
36115,2.677,699,225,40.0
36123,2.677,699,225,40.0
36130,2.677,696,225,40.0
36136,2.677,696,225,40.0
36147,2.677,696,225,40.0
36165,2.7,696,225,40.0
36174,2.7,696,225,40.0
36182,2.7,696,225,40.0
36193,2.7,696,225,40.0
36204,2.7,696,225,40.0
36231,2.649,697,224,40.0
36243,2.649,697,224,40.0
36254,2.649,697,224,40.0
36267,2.663,697,224,40.0
36271,2.663,697,224,40.0
36281,2.663,697,224,40.0
36293,2.663,697,224,40.0
36298,2.663,697,224,40.0
36316,2.663,697,227,99.0
36322,2.603,697,227,96.0
36339,2.603,699,227,92.0
36349,2.603,699,227,89.0
36355,2.603,699,227,86.0
36365,2.603,699,227,83.0
36373,3.395,699,227,67.0
36382,3.395,699,227,66.0
36388,3.395,699,227,65.0
36399,3.395,699,227,63.0
36412,3.395,699,225,62.0
36425,3.718,699,225,56.0
36437,3.718,697,225,55.0
36445,3.718,697,225,55.0
36451,3.718,697,225,54.0
36460,3.718,697,225,54.0
36471,3.718,697,225,53.0
36478,3.968,697,225,49.0
36488,3.968,697,225,49.0
36493,3.968,697,225,49.0
36504,3.968,697,225,49.0
36517,3.968,697,223,48.0
36528,3.968,697,223,48.0
36536,4.157,699,223,45.0
36545,4.157,699,223,45.0
36550,4.157,699,223,45.0
36561,4.157,699,223,45.0
36572,4.157,699,223,46.0
36578,4.157,699,223,46.0
36595,4.075,699,223,47.0
36599,4.075,699,223,47.0
36613,4.075,699,221,47.0
36627,4.075,699,221,47.0
36646,3.957,700,221,49.0
36663,3.957,700,221,49.0
36670,3.957,700,221,49.0
36681,3.957,700,221,49.0
36687,3.957,700,221,49.0
36699,4.11,700,221,46.0
36703,4.11,700,221,46.0
36715,4.11,700,225,46.0
36725,4.11,700,225,46.0
36738,4.11,699,225,46.0
36754,4.069,699,225,47.0
36764,4.069,699,225,47.0
36772,4.069,699,225,47.0
36783,4.069,699,225,47.0
36790,4.069,699,225,47.0
36802,3.849,699,225,51.0
36813,3.849,699,221,50.0
36818,3.849,699,221,50.0
36826,3.849,699,221,50.0
36835,3.849,702,221,50.0
36845,3.849,702,221,50.0
36852,4.136,702,221,45.0
