control_timestamps,yaw,distance,distance_2,motor_input
52461,3.439,1344,357,57.0
52465,3.439,1344,357,54.0
52476,3.439,1344,357,51.0
52482,3.439,1344,357,49.0
52490,3.439,1344,357,47.0
52498,3.439,1344,357,45.0
52505,3.203,1344,357,40.0
52510,3.203,1342,357,40.0
52520,3.203,1342,357,40.0
52526,3.203,1342,357,40.0
52531,3.203,1342,357,40.0
52540,3.203,1342,357,40.0
52557,3.174,1342,357,40.0
52572,3.174,1342,357,40.0
52586,3.174,1342,357,40.0
52591,3.174,1342,357,40.0
52601,3.174,1342,357,40.0
52616,3.154,1346,359,40.0
52629,3.154,1346,359,40.0
52640,3.154,1346,359,40.0
52655,3.154,1346,359,40.0
52668,3.135,1346,359,40.0
52678,3.135,1346,359,40.0
52689,3.135,1346,359,40.0
52700,3.135,1346,359,40.0
52713,3.135,1353,358,40.0
52723,3.202,1353,358,40.0
52733,3.202,1353,358,40.0
52743,3.202,1353,358,40.0
52754,3.202,1353,358,40.0
52768,3.217,1353,358,40.0
52783,3.217,1353,358,40.0
52789,3.217,1353,358,40.0
52794,3.217,1353,358,40.0
52805,3.217,1353,358,40.0
52813,3.217,1346,360,40.0
52819,3.217,1346,360,40.0
52834,3.243,1346,360,40.0
52844,3.243,1346,360,40.0
52859,3.243,1346,360,40.0
52871,3.243,1346,360,40.0
52885,3.188,1346,360,40.0
52894,3.188,1346,360,40.0
52900,3.188,1346,360,40.0
52906,3.188,1349,360,40.0
52912,3.188,1349,357,40.0
52919,3.188,1349,357,40.0
52937,3.183,1349,357,40.0
52949,3.183,1349,357,40.0
52957,3.183,1349,357,40.0
52968,3.183,1349,357,40.0
52982,3.115,1349,357,40.0
52991,3.115,1349,357,40.0
53002,3.115,1351,357,40.0
53014,3.115,1351,356,40.0
53023,3.115,1351,356,40.0
53035,3.206,1351,356,40.0
53050,3.206,1351,356,40.0
53059,3.206,1351,356,40.0
53069,3.206,1351,356,86.0
53079,3.206,1351,356,82.0
53091,3.296,1351,356,78.0
53102,3.296,1346,356,76.0
53115,3.296,1346,356,73.0
53124,3.296,1346,356,71.0
53135,3.296,1346,356,69.0
53145,4.696,1346,356,44.0
53152,4.696,1346,356,44.0
53158,4.696,1346,356,44.0
53163,4.696,1346,356,44.0
53174,4.696,1346,356,44.0
53180,4.696,1346,356,43.0
53185,4.696,1346,356,43.0
53198,4.903,1332,356,40.0
53207,4.903,1332,356,40.0
53214,4.903,1332,358,40.0
53223,4.903,1332,358,40.0
53232,4.903,1332,358,40.0
53245,4.858,1332,358,41.0
53254,4.858,1332,358,41.0
53265,4.858,1332,358,41.0
53276,4.858,1332,358,41.0
53287,4.858,1332,358,41.0
53305,4.953,1320,358,40.0
53323,4.953,1320,355,40.0
53331,4.953,1320,355,40.0
53346,4.953,1320,355,40.0
53359,4.926,1320,355,40.0
53363,4.926,1320,355,40.0
53373,4.926,1320,355,40.0
53385,4.926,1320,355,40.0
53397,4.926,1337,355,40.0
53415,4.962,1337,355,40.0
53418,4.962,1337,355,40.0
53424,4.962,1337,355,40.0
53438,4.962,1337,355,40.0
53446,4.962,1337,355,40.0
53458,4.976,1337,355,40.0
53467,4.976,1337,355,40.0
53479,4.976,1337,355,40.0
53490,4.976,1337,355,40.0
53497,4.976,1329,355,40.0
53501,4.976,1329,355,40.0
53507,4.976,1329,355,40.0
53519,5.029,1329,360,40.0
53528,5.029,1329,360,40.0
53540,5.029,1329,360,40.0
53551,5.029,1329,360,40.0
53564,5.061,1329,360,40.0
53573,5.061,1329,360,40.0
53584,5.061,1329,360,40.0
53600,5.061,1307,360,40.0
53610,5.061,1307,358,40.0
