control_timestamps,yaw,distance,distance_2,motor_input
24390,3.265,646,199,120.0
24393,3.265,646,199,120.0
24405,3.261,646,199,120.0
24415,3.261,646,199,120.0
24428,3.261,646,201,120.0
24437,3.261,646,201,120.0
24453,3.261,646,201,120.0
24461,1.272,646,201,120.0
24470,1.272,646,201,120.0
24475,1.272,646,201,120.0
24481,1.272,646,201,120.0
24486,1.272,646,201,120.0
24492,1.272,646,201,120.0
24502,1.272,646,201,120.0
24518,358.242,646,201,120.0
24532,358.242,649,206,120.0
24541,358.242,649,206,120.0
24552,358.242,649,206,120.0
24562,356.465,649,206,120.0
24571,356.465,649,206,120.0
24579,356.465,649,206,120.0
24590,356.465,649,206,120.0
24601,356.465,649,206,120.0
24607,356.465,649,206,120.0
24615,359.89,649,206,120.0
24629,359.89,649,217,120.0
24651,359.89,656,217,120.0
24661,359.89,656,217,120.0
24675,3.437,656,217,120.0
24683,3.437,656,217,120.0
24700,3.437,656,217,120.0
24711,3.437,656,217,120.0
24722,2.764,656,217,120.0
24733,2.764,657,202,120.0
24742,2.764,657,202,120.0
24752,2.764,657,202,120.0
24763,2.764,657,202,120.0
24776,359.243,657,202,120.0
24785,359.243,657,202,120.0
24796,359.243,657,202,120.0
24806,359.243,657,202,120.0
24817,359.243,657,202,120.0
24834,0.682,656,204,120.0
24845,0.682,656,204,120.0
24858,0.682,656,204,120.0
24869,0.682,656,204,120.0
24886,1.068,656,204,120.0
24897,1.068,656,204,120.0
24908,1.068,656,204,120.0
24918,1.068,656,204,120.0
24942,357.627,658,210,120.0
24946,357.627,658,210,120.0
24957,357.627,658,210,120.0
24969,357.627,658,210,120.0
24979,357.627,658,210,120.0
24987,357.102,658,210,250.0
24996,357.102,658,210,250.0
25004,357.102,658,210,250.0
25017,357.102,658,210,250.0
25021,357.102,658,210,250.0
25026,357.102,658,210,250.0
25034,357.102,668,224,250.0
25044,3.269,668,224,168.0
25052,3.269,668,224,165.0
25062,3.269,668,224,161.0
25068,3.269,668,224,159.0
25079,3.269,668,224,156.0
25091,15.559,668,224,120.0
25098,15.559,668,224,120.0
25108,15.559,668,224,120.0
25119,15.559,668,224,120.0
25138,15.559,678,203,120.0
25148,28.06,678,203,120.0
25157,28.06,678,203,120.0
25167,28.06,678,203,120.0
25178,28.06,678,203,120.0
25189,28.06,678,203,120.0
25208,35.859,678,203,183.0
25217,35.859,678,203,177.0
25226,35.859,777,203,172.0
25236,35.859,777,208,168.0
25245,35.859,777,208,163.0
25254,33.6,777,208,122.0
25261,33.6,777,208,121.0
25272,33.6,777,208,120.0
25283,33.6,777,208,120.0
25299,33.6,777,208,120.0
25311,27.8,777,208,120.0
25321,27.8,753,208,120.0
25326,27.8,753,208,120.0
25334,27.8,753,215,120.0
25343,27.8,753,215,120.0
25360,22.499,753,215,120.0
25380,22.499,753,215,120.0
25391,22.499,753,215,120.0
25407,17.65,753,215,120.0
25418,17.65,706,215,120.0
25439,17.65,706,214,120.0
25456,17.65,706,214,120.0
25468,16.097,706,214,120.0
25478,16.097,706,214,120.0
25486,16.097,706,214,120.0
25489,16.097,706,214,120.0
25495,16.097,706,214,120.0
25500,16.097,706,214,120.0
25510,16.097,706,214,120.0
25525,20.722,707,214,120.0
25536,20.722,707,203,120.0
25555,20.722,707,203,120.0
25568,22.541,707,203,120.0
25578,22.541,707,203,120.0
25589,22.541,707,203,120.0
25600,22.541,707,203,120.0
25606,22.541,707,203,120.0
25611,22.541,707,203,120.0
25619,19.13,730,203,120.0
25628,19.13,730,203,120.0
25640,19.13,730,214,120.0
25650,19.13,730,214,250.0
25662,19.13,730,214,250.0
25675,17.972,730,214,250.0
25681,17.972,730,214,250.0
25692,17.972,730,214,250.0
25702,17.972,730,214,250.0
25708,17.972,730,214,250.0
25715,17.972,729,214,250.0
25723,17.972,729,214,250.0
25738,26.395,729,214,120.0
25747,26.395,729,214,120.0
25760,26.395,729,214,120.0
25771,26.395,729,214,120.0
25784,37.978,729,214,120.0
25793,37.978,729,214,120.0
25804,37.978,729,214,120.0
25821,37.978,874,214,120.0
25834,51.742,874,189,120.0
25842,51.742,874,189,120.0
25853,51.742,874,189,120.0
25864,51.742,874,189,120.0
25875,51.742,874,189,120.0
25892,59.047,874,189,225.0
25902,59.047,874,189,218.0
25905,59.047,874,189,211.0
25912,59.047,867,189,205.0
25921,59.047,867,189,200.0
25927,59.047,867,189,195.0
25935,59.047,867,194,191.0
25941,55.254,867,194,123.0
25944,55.254,867,194,123.0
25958,55.254,867,194,123.0
25970,55.254,867,194,123.0
25982,55.254,867,194,123.0
25995,47.973,867,194,120.0
26004,47.973,867,194,120.0
26021,47.973,903,194,120.0
26031,47.973,903,192,120.0
26043,41.54,903,192,120.0
26052,41.54,903,192,120.0
26060,41.54,903,192,120.0
26071,41.54,903,192,120.0
26100,34.766,903,192,120.0
26112,34.766,953,192,120.0
26123,34.766,953,192,120.0
26134,34.766,953,191,120.0
26144,34.766,953,191,120.0
26151,29.95,953,191,120.0
26159,29.95,953,191,120.0
26172,29.95,953,191,120.0
26182,29.95,953,191,120.0
26188,29.95,953,191,120.0
26196,29.95,953,191,120.0
26210,33.603,883,191,120.0
26218,33.603,883,191,120.0
26235,33.603,883,189,120.0
26246,33.603,883,189,250.0
26263,36.717,883,189,250.0
26273,36.717,883,189,250.0
26283,36.717,883,189,250.0
26290,36.717,883,189,250.0
26293,36.717,883,189,250.0
26301,36.717,883,189,250.0
26311,42.664,966,189,149.0
26319,42.664,966,189,148.0
26336,42.664,966,188,147.0
26357,42.664,966,188,146.0
