control_timestamps,yaw,distance,distance_2,motor_input
54717,3.584,699,241,60.0
54724,3.584,699,245,56.0
54733,3.584,699,245,54.0
54739,3.584,699,245,51.0
54752,3.323,699,245,44.0
54761,3.323,699,245,43.0
54766,3.323,699,245,41.0
54778,3.323,697,245,40.0
54795,3.323,697,245,40.0
54811,2.936,697,245,40.0
54829,2.936,697,241,40.0
54837,2.936,697,241,40.0
54853,2.954,697,241,40.0
54862,2.954,697,241,40.0
54868,2.954,697,241,40.0
54874,2.954,699,241,40.0
54879,2.954,699,241,40.0
54889,2.954,699,241,40.0
54898,2.954,699,241,40.0
54915,3.012,699,241,40.0
54928,3.012,699,237,40.0
54936,3.012,699,237,40.0
54947,3.012,699,237,40.0
54961,2.959,699,237,40.0
54970,2.959,698,237,40.0
54980,2.959,698,237,40.0
54991,2.959,698,237,40.0
55002,2.959,698,237,40.0
55019,3.006,698,237,40.0
55031,3.006,698,244,40.0
55053,3.006,698,244,40.0
55068,3.119,697,244,40.0
55085,3.119,697,244,40.0
55096,3.119,697,244,40.0
55108,3.119,697,244,40.0
55127,3.106,697,242,40.0
55136,3.106,697,242,40.0
55149,3.106,697,242,40.0
55160,3.106,697,242,40.0
55167,3.106,698,242,40.0
55173,3.132,698,242,40.0
55177,3.132,698,242,40.0
55187,3.132,698,242,40.0
55196,3.132,698,242,40.0
55209,3.132,698,242,40.0
55220,3.132,698,242,40.0
55239,3.035,698,238,40.0
55248,3.035,698,238,40.0
55259,3.035,698,238,40.0
55271,3.035,699,238,40.0
55283,3.059,699,238,40.0
55292,3.059,699,238,40.0
55303,3.059,699,238,40.0
55319,3.059,699,238,89.0
55326,3.059,699,243,86.0
55337,3.085,699,243,82.0
55346,3.085,699,243,79.0
55352,3.085,699,243,77.0
55362,3.085,699,243,75.0
55375,3.085,699,243,73.0
55391,4.338,699,243,50.0
55399,4.338,699,243,49.0
55410,4.338,699,243,49.0
55425,4.338,699,239,49.0
55436,4.619,699,239,43.0
55445,4.619,699,239,43.0
55451,4.619,699,239,43.0
55456,4.619,699,239,43.0
55472,4.619,699,239,43.0
