control_timestamps,yaw,distance,distance_2,motor_input
52908,3.791,1305,361,63.0
52917,3.791,1305,361,60.0
52931,3.791,1305,361,57.0
52942,3.791,1305,361,54.0
52954,3.791,1300,361,52.0
52970,3.346,1300,361,50.0
52981,3.346,1300,361,50.0
52994,3.346,1300,361,50.0
53010,3.346,1300,363,50.0
53023,3.441,1300,363,50.0
53034,3.441,1300,363,50.0
53038,3.441,1300,363,50.0
53044,3.441,1300,363,50.0
53050,3.441,1308,363,50.0
53064,3.441,1308,363,50.0
53074,3.519,1308,363,50.0
53087,3.519,1308,363,50.0
53100,3.519,1308,363,50.0
53110,3.519,1308,360,50.0
53120,3.519,1308,360,50.0
53132,3.344,1308,360,50.0
53142,3.344,1308,360,50.0
53155,3.344,1318,360,50.0
53164,3.344,1318,360,50.0
53179,3.288,1318,360,50.0
53191,3.288,1318,360,50.0
53204,3.288,1318,360,50.0
53210,3.288,1318,360,50.0
53217,3.288,1318,360,50.0
53227,3.288,1318,360,50.0
53234,3.163,1318,360,50.0
53247,3.163,1314,360,50.0
53257,3.163,1314,360,50.0
53268,3.163,1314,360,50.0
53274,3.163,1314,360,50.0
53280,3.163,1314,360,50.0
53286,3.1,1314,360,50.0
53290,3.1,1314,360,50.0
53296,3.1,1314,360,50.0
53309,3.1,1314,361,50.0
53317,3.1,1314,361,50.0
53331,3.1,1314,361,50.0
53339,3.075,1314,361,50.0
53353,3.075,1333,361,50.0
53362,3.075,1333,361,50.0
53370,3.075,1333,361,50.0
53384,3.075,1333,361,50.0
53400,3.104,1333,361,50.0
53406,3.104,1333,361,50.0
53420,3.104,1333,361,50.0
53431,3.104,1333,361,50.0
53438,3.104,1333,361,50.0
53447,3.147,1316,361,50.0
53455,3.147,1316,361,50.0
53460,3.147,1316,361,50.0
53476,3.147,1316,361,50.0
53488,3.147,1316,361,50.0
53505,3.192,1316,361,86.0
53522,3.192,1316,361,83.0
53533,3.192,1316,361,80.0
53539,3.192,1316,361,77.0
53557,4.037,1312,361,61.0
53566,4.037,1312,361,60.0
53576,4.037,1312,361,58.0
53587,4.037,1312,361,57.0
53600,4.037,1312,361,56.0
53610,5.913,1312,361,50.0
53623,5.913,1312,361,50.0
53633,5.913,1312,361,50.0
53644,5.913,1295,361,50.0
53650,5.913,1295,361,50.0
53658,6.181,1295,361,50.0
53667,6.181,1295,361,50.0
53672,6.181,1295,361,50.0
53684,6.181,1295,361,50.0
53697,6.181,1295,359,50.0
53708,6.472,1295,359,50.0
53717,6.472,1295,359,50.0
53730,6.472,1295,359,50.0
53734,6.472,1295,359,50.0
53751,6.472,1293,359,50.0
53762,6.488,1293,359,50.0
53772,6.488,1293,359,50.0
53788,6.488,1293,359,50.0
53800,6.488,1293,362,50.0
53810,6.488,1293,362,50.0
53817,6.449,1293,362,50.0
53830,6.449,1293,362,50.0
53845,6.449,1296,362,50.0
53858,6.449,1296,362,50.0
53875,6.407,1296,362,50.0
53885,6.407,1296,362,50.0
53898,6.407,1296,361,50.0
53909,6.407,1296,361,50.0
53921,6.533,1296,361,50.0
53930,6.533,1296,361,50.0
53936,6.533,1296,361,50.0
53953,6.533,1292,361,50.0
53963,6.533,1292,361,50.0
53968,6.533,1292,361,50.0
53975,6.558,1292,361,50.0
53990,6.558,1292,361,50.0
53998,6.558,1292,362,50.0
54007,6.558,1292,362,50.0
54014,6.558,1292,362,50.0
54018,6.558,1292,362,50.0
54023,6.558,1292,362,50.0
54036,6.529,1292,362,50.0
54048,6.529,1285,362,50.0
54057,6.529,1285,362,50.0
54068,6.529,1285,362,50.0
54074,6.529,1285,362,50.0
54081,6.54,1285,362,50.0
54085,6.54,1285,362,50.0
54100,6.54,1285,361,50.0
54110,6.54,1285,361,194.0
54118,6.54,1285,361,186.0
54125,6.54,1285,361,178.0
54134,7.163,1285,361,160.0
54144,7.163,1294,361,155.0
54150,7.163,1294,361,149.0
54161,7.163,1294,361,145.0
54172,7.163,1294,361,140.0
54190,11.773,1294,361,59.0
54201,11.773,1294,360,60.0
54211,11.773,1294,360,60.0
54222,11.773,1294,360,61.0
54232,11.773,1294,360,61.0
54249,16.696,1299,360,50.0
54260,16.696,1299,360,50.0
54275,16.696,1299,360,50.0
54287,16.696,1299,360,50.0
54301,19.095,1299,367,50.0
54311,19.095,1299,367,50.0
54321,19.095,1299,367,50.0
54328,19.095,1299,367,50.0
54335,19.095,1299,367,50.0
54347,19.341,1292,367,50.0
54361,19.341,1292,367,50.0
54375,19.341,1292,367,50.0
54385,19.341,1292,367,50.0
54401,19.293,1292,372,50.0
54408,19.293,1292,372,50.0
54413,19.293,1292,372,50.0
54425,19.293,1292,372,50.0
54434,19.293,1292,372,50.0
54452,19.232,1294,372,50.0
54463,19.232,1294,372,50.0
54475,19.232,1294,372,50.0
54486,19.232,1294,372,50.0
54498,19.232,1294,369,50.0
54514,19.136,1294,369,50.0
54526,19.136,1294,369,50.0
54538,19.136,1294,369,50.0
54547,19.136,1298,369,50.0
